Lutron MAP Schedule (effective 2/8/2026),,,,
"All resellers and their customers are subject to Lutron’s full MAP policy terms, applicable to the relevant products being advertised and sold. These can be found at www.lutron.com/salespolicies and are incorporated by reference herein. While Sellers remain free to advertise and sell all of our products (including the Covered Product) at any price, it is a violation of the Policy for a Seller to advertise any Covered Product at a price lower than the MAP.",,,,
SKU,DESCRIPTION,MAP,U.P.C.,
DVSCSTV-MN,DIVA 0-10 W/SWITCHING BOX MIDNIGHT,$86.95,784276099714,
DVSCSTV-PB,DIVA DV 8A PB,$86.95,784276291057,
DVSCSTV-PD,DIVA 0-10 W/SWITCHING BOX PALLADIUM,$86.95,784276099745,
DVSCSTV-PM,DIVA DV 8A PM,$86.95,784276291095,
DVSCSTV-RW,DIVA DV 8A RW,$86.95,784276291026,
DVSCSTV-SA,DIVA DV 8A SA,$86.95,784276291118,
DVSCSTV-SD,DIVA DV 8A SD,$86.95,784276291088,
DVSCSTV-SL,DIVA DV 8A SL,$86.95,784276291071,
DVSCSTV-SR,DIVA DV 8A SR,$86.95,784276291156,
DVSCSTV-SW,DIVA 0-10 W/SWITCHING BOX SNOW,$86.95,784276099790,
DVSCSTV-TF,DIVA DV 8A TF,$86.95,784276291132,
DVSCSTV-TP,DIVA 0-10 W/SWITCHING BOX TAUPE,$86.95,784276099813,
DVSCTV-BI,DIVA 0-10V CLASS 2 BISCUIT,$90.95,027557663595,
DVSCTV-BW,DIVA 24VDC DIM BW,$90.95,784276291163,
DVSCTV-CS,DIVA 24VDC DIM CS,$90.95,784276291224,
DVSCTV-CY,DIVA 24VDC DIM CY,$90.95,784276291262,
DVSCTV-DE,DIVA 24VDC DIM DE,$90.95,784276291309,
DVSCTV-EP,DIVA 24VDC DIM EP,$90.95,784276291286,
DVSCTV-GL,DIVA 24VDC DIM GL,$90.95,784276291170,
DVSCTV-HT,DIVA 0-10V CLASS 2 HOT,$90.95,027557663526,
DVSCTV-LG,DIVA 24VDC DIM LG,$90.95,784276291194,
DVSCTV-MI,DIVA 24VDC DIM MI,$90.95,784276291200,
DVSCTV-MN,DIVA 0-10V CLASS 2 MIDNIGHT,$90.95,027557663625,
DVSCTV-PB,DIVA 24VDC DIM PB,$90.95,784276291217,
DVSCTV-PD,DIVA 0-10V CLASS 2 PALLADIUM,$90.95,027557663618,
DVSCTV-PM,DIVA 24VDC DIM PM,$90.95,784276291255,
DVSCTV-RW,DIVA 24VDC DIM RW,$90.95,784276291187,
DVSCTV-SA,DIVA 24VDC DIM SA,$90.95,784276291279,
DVSCTV-SD,DIVA 24VDC DIM SD,$90.95,784276291248,
DVSCTV-SL,DIVA 24VDC DIM SL,$90.95,784276291231,
DVSCTV-SR,DIVA 24VDC DIM SR,$90.95,784276291316,
DVSCTV-SW,DIVA 0-10V CLASS 2 SNOW,$90.95,027557663601,
DVSCTV-TF,DIVA 24VDC DIM TF,$90.95,784276291293,
DVSCTV-TP,DIVA 0-10V CLASS 2 TAUPE,$90.95,027557663571,
DVSTV-453PH-WH,DIVA 0-10V 450W CLAM,$62.95,784276230872,
DVSTV-453P-WH,DIVA 0-10V SWITCH,$62.95,784276329781,
DVSTV-AL,DIVA 0-10 W/SWITCHING BOX ALMOND,$78.95,784276099561,
DVSTV-BL,DIVA 0-10 W/SWITCHING BOX BLACK,$78.95,784276099578,
DVSTV-BR,DIVA 0-10 W/SWITCHING BOX BROWN,$78.95,784276099585,
DVSTV-GR,DIVA 0-10 W/SWITCHING BOX GRAY,$78.95,784276099592,
DVSTV-IV,DIVA 0-10 W/SWITCHING BOX IVORY,$78.95,784276099608,
DVSTV-LA,DIVA 0-10 W/SWITCHING BOX LIGHT ALMOND,$78.95,784276099615,
DVSTV-WH,DIVA 0-10 W/SWITCHING BOX WHITE,$78.95,784276099622,
DVTV-AL,DIVA 0-10V CLASS 2 ALMOND,$82.95,027557663472,
DVTV-BL,DIVA 0-10V CLASS 2 BLACK,$82.95,027557663519,
DVTV-BR,DIVA 0-10V CLASS 2 BROWN,$82.95,027557663502,
DVTV-GR,DIVA 0-10V CLASS 2 GRAY,$82.95,027557663496,
DVTV-IV,DIVA 0-10V CLASS 2 IVORY,$82.95,027557663465,
DVTV-LA,DIVA 0-10V CLASS 2 LIGHT ALMOND,$82.95,027557663489,
DVTV-WH,DIVA 0-10V CLASS 2 WHITE,$82.95,027557663458,
FCJS-010,"FIXTURE CONTROL 0-10V, VIVE ENABLED",$102.85,784276148962,
FCJS-010-BULK8,"FIXTURE CONTROL 010BULK8, VIVE ENABLED",$791.00,784276148979,
FCJS-010-EM,FIXTURE CONTROL 0-10V EMERGENCY,$169.50,784276252461,
FCJS-ECO,"FIXTURE CONTROL ECO, VIVE ENABLED",$102.85,784276148986,
FCJS-ECO-BULK8,"FIXTURE CONTROL ECOBULK8, VIVE ENABLED",$791.00,784276148993,
FCJS-ECO-EM,FIXTURE CONTROL ECO EMERGENCY,$169.50,784276252478,
FC-SENSOR,FIXTURE SENSOR,$45.77,784276100816,
FC-VSENSOR,FIXTURE VACANCY SENSOR,$45.77,784276100823,
HJS-0-FM,STARTER VIVE HUB FLUSH WITH PS,"$2,023.00",784276239196,
H-MOUNT-FM,VIVE HUB FLUSH MT BRACKET,$106.25,784276171021,
H-MOUNT-SM,VIVE HUB SURF MT BRACKET,$106.25,784276171038,
L-BDG2-WH,Caseta Wireless Smart Bridge,$89.95,784276099332,
L-BDGPRO2-WH,PRO BRIDGE,$180.00,784276099349,
L-CMDPIRKIT,COMMAND STRIP AND LENS,$16.95,027557844376,
L-CMNT-WH,REC MNT ADAPT,$42.00,784276297141,
L-CRMK-WH,LRF CEILING RECESS MOUNT,$24.30,027557846448,
LFGI-10BRL-F-CWH,FP GLASS 10BRL,$136.50,784276070652,
LFGI-2B-F-CWH,FP GLASS 2B,$136.50,784276070676,
LFGI-3B-F-CWH,FP GLASS 3B,$136.50,784276070690,
LFGI-4B-F-CWH,FP GLASS 4B,$136.50,784276070713,
LFGI-5BRL-F-CWH,FP GLASS 5BRL,$136.50,784276070737,
LFGI-6BRL-F-CWH,FP GLASS 6BRL,$136.50,784276070751,
LFGI-7BRL-F-CWH,FP GLASS 7BRL,$136.50,784276070775,
LFGI-8BRL-F-CWH,FP GLASS 8BRL,$136.50,784276070799,
LFGP-S1-CWH,FP GLASS 1 PICO,$85.05,784276085830,
LFGP-S2-CWH,FP GLASS 2 PICO,$85.05,784276085854,
LFGR-1-CWH,FP GLASS 1R OPENING,$60.90,784276085779,
LFGR-2-CWH,FP GLASS 2R OPENING,$96.60,784276085793,
LFGR-3-CWH,FP GLASS 3R OPENING,$152.25,784276085816,
LFGR-W1BN-CWH,FP GLASS W1BN,$136.50,784276070270,
LFGR-W1RLDN-CWH,FP GLASS W1RLDN,$136.50,784276070294,
LFGR-W2BN-CWH,FP GLASS W2BN,$136.50,784276070317,
LFGR-W2BRLN-CWH,FP GLASS W2BRLN,$136.50,784276070331,
LFGR-W2RLDN-CWH,FP GLASS W2RLDN,$136.50,784276070379,
LFGR-W3BDN-CWH,FP GLASS W3BDN,$136.50,784276070393,
LFGR-W3BN-CWH,FP GLASS W3BN,$136.50,784276070416,
LFGR-W3BRLN-CWH,FP GLASS W3BRLN,$136.50,784276070430,
LFGR-W3SN-CWH,FP GLASS 3S OPENING,$136.50,784276086981,
LFGR-W4SN-CWH,FP GLASS W4SN,$136.50,784276070515,
LFGR-W5BRLN-CWH,FP GLASS W5BRLN,$136.50,784276070539,
LFGR-W5BTN-CWH,FP GLASS W5BTN,$136.50,784276070577,
LFGR-W6BN-CWH,FP GLASS W6BN,$136.50,784276070591,
LFGR-W6BRLN-CWH,FP GLASS W6BRLN,$136.50,784276070614,
LFGR-W7BN-CWH,FP GLASS W7BN,$136.50,784276070638,
LFK-T10RL-BB,LARGE 10 BUTTON FACEPLATE KIT BB,$265.50,027557605571,
LFK-T10RL-BC,LARGE 10 BUTTON FACEPLATE KIT BC,$265.50,027557605588,
LFK-T10RL-BLA,LARGE 10 BUTTON FACEPLATE KIT BLA,$265.50,027557605601,
